"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","11b0e4df06e7c1d09d27332b8149ff78287995ae"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(1.0000000000000004, 1.0000000000000002, 1.0000000000000069)"
"diagnostics","Image-original","Size","(256, 256, 176)"
"diagnostics","Image-original","Mean","17.930804426019844"
"diagnostics","Image-original","Minimum","0.0"
"diagnostics","Image-original","Maximum","294.0"
"diagnostics","Mask-original","Hash","8055eccf8971be2d007831125963b64a3af7c912"
"diagnostics","Mask-original","Spacing","(1.0000000000000004, 1.0000000000000002, 1.0000000000000069)"
"diagnostics","Mask-original","Size","(256, 256, 176)"
"diagnostics","Mask-original","BoundingBox","(69, 98, 94, 45, 70, 1)"
"diagnostics","Mask-original","VoxelNum","2646"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(92.21315192743764, 131.3476946334089, 94.0)"
"diagnostics","Mask-original","CenterOfMass","(-38.39192409059248, -21.50515599585748, 62.607630973019276)"
"original","firstorder","10Percentile","85.0"
"original","firstorder","90Percentile","160.0"
"original","firstorder","Energy","42627202.0"
"original","firstorder","Entropy","2.302754142740418"
"original","firstorder","InterquartileRange","40.0"
"original","firstorder","Kurtosis","3.292693735484338"
"original","firstorder","Maximum","201.0"
"original","firstorder","MeanAbsoluteDeviation","23.565905609745364"
"original","firstorder","Mean","123.45502645502646"
"original","firstorder","Median","126.0"
"original","firstorder","Minimum","0.0"
"original","firstorder","Range","201.0"
"original","firstorder","RobustMeanAbsoluteDeviation","16.94285868241344"
"original","firstorder","RootMeanSquared","126.9253862153305"
"original","firstorder","Skewness","-0.38271838451431783"
"original","firstorder","TotalEnergy","42627202.00000032"
"original","firstorder","Uniformity","0.2347964296997879"
"original","firstorder","Variance","868.910108899527"
"original","glcm","Autocorrelation","30.90049599552664"
"original","glcm","ClusterProminence","74.99909409370146"
"original","glcm","ClusterShade","-3.096119801846248"
"original","glcm","ClusterTendency","4.971212914452112"
"original","glcm","Contrast","0.80223829636507"
"original","glcm","Correlation","0.7219139792793582"
"original","glcm","DifferenceAverage","0.5495611364058427"
"original","glcm","DifferenceEntropy","1.3412714189198407"
"original","glcm","DifferenceVariance","0.4917609838766212"
"original","glcm","Id","0.7589574656525333"
"original","glcm","Idm","0.7491205906754861"
"original","glcm","Idmn","0.9906506023758628"
"original","glcm","Idn","0.9471630958780362"
"original","glcm","Imc1","-0.27731310495044914"
"original","glcm","Imc2","0.8377620359521917"
"original","glcm","InverseVariance","0.39806354445967707"
"original","glcm","JointAverage","5.464269964514585"
"original","glcm","JointEnergy","0.09702820429660886"
"original","glcm","JointEntropy","3.9467447212436944"
"original","glcm","MCC","0.7473700540046988"
"original","glcm","MaximumProbability","0.19944202885535783"
"original","glcm","SumAverage","10.928539929029172"
"original","glcm","SumEntropy","3.14291173605177"
"original","glcm","SumSquares","1.4433628027042955"
"original","gldm","DependenceEntropy","5.256051832267869"
"original","gldm","DependenceNonUniformity","332.36054421768705"
"original","gldm","DependenceNonUniformityNormalized","0.12560867128408432"
"original","gldm","DependenceVariance","4.6417862013370055"
"original","gldm","GrayLevelNonUniformity","621.2713529856387"
"original","gldm","GrayLevelVariance","1.4691656539999052"
"original","gldm","HighGrayLevelEmphasis","31.288359788359788"
"original","gldm","LargeDependenceEmphasis","32.111111111111114"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","1033.7940287226002"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","1.2172631276272443"
"original","gldm","LowGrayLevelEmphasis","0.043600491559967675"
"original","gldm","SmallDependenceEmphasis","0.08850600688261083"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","2.518249663765593"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.005600497656970518"
"original","glrlm","GrayLevelNonUniformity","265.3888140804021"
"original","glrlm","GrayLevelNonUniformityNormalized","0.21379545616473655"
"original","glrlm","GrayLevelVariance","1.755842398820004"
"original","glrlm","HighGrayLevelRunEmphasis","30.367610640542253"
"original","glrlm","LongRunEmphasis","8.593768312894682"
"original","glrlm","LongRunHighGrayLevelEmphasis","281.67419605691737"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.3229772637238296"
"original","glrlm","LowGrayLevelRunEmphasis","0.048990094859674"
"original","glrlm","RunEntropy","4.452401852897985"
"original","glrlm","RunLengthNonUniformity","438.1831597335135"
"original","glrlm","RunLengthNonUniformityNormalized","0.34663045261429815"
"original","glrlm","RunPercentage","0.4698601662887377"
"original","glrlm","RunVariance","3.823432647260435"
"original","glrlm","ShortRunEmphasis","0.600891269403194"
"original","glrlm","ShortRunHighGrayLevelEmphasis","17.858231635669867"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.03194207377505219"
"original","glszm","GrayLevelNonUniformity","35.16822429906542"
"original","glszm","GrayLevelNonUniformityNormalized","0.16433749672460476"
"original","glszm","GrayLevelVariance","2.773539173726963"
"original","glszm","HighGrayLevelZoneEmphasis","25.714953271028037"
"original","glszm","LargeAreaEmphasis","2870.308411214953"
"original","glszm","LargeAreaHighGrayLevelEmphasis","94697.8738317757"
"original","glszm","LargeAreaLowGrayLevelEmphasis","92.76163156107026"
"original","glszm","LowGrayLevelZoneEmphasis","0.0770852281289809"
"original","glszm","SizeZoneNonUniformity","43.13084112149533"
"original","glszm","SizeZoneNonUniformityNormalized","0.20154598654904357"
"original","glszm","SmallAreaEmphasis","0.42731753356843494"
"original","glszm","SmallAreaHighGrayLevelEmphasis","10.596752886064344"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.038379850148302606"
"original","glszm","ZoneEntropy","5.357552272560927"
"original","glszm","ZonePercentage","0.08087679516250945"
"original","glszm","ZoneVariance","2717.4278976329806"
"original","ngtdm","Busyness","3.9128421110322895"
"original","ngtdm","Coarseness","0.004372509307044935"
"original","ngtdm","Complexity","14.311141695545075"
"original","ngtdm","Contrast","0.017047105318842584"
"original","ngtdm","Strength","0.1359522822199261"
